{'queryset/testMaterial/imagesgravel7.jpeg': 0, 'queryset/testMaterial/indexgravel3.jpeg': 0, 'queryset/testMaterial/gravelTest2.jpeg': 0, 'queryset/testMaterial/indexgravel4.jpeg': 0, 'queryset/testMaterial/indexgravel5.jpeg': 0, 'queryset/testMaterial/indexgravel.jpeg': 0, 'queryset/testMaterial/imagesgravel9.jpeg': 0, 'queryset/testMaterial/imagesgravel8.jpeg': 0, 'queryset/testMaterial/indexgravel6.jpeg': 0, 'queryset/testMaterial/imagesgravel12.jpeg': 0, 'queryset/testMaterial/indexgravel10.jpeg': 0, 'queryset/testMaterial/imagesgravel13.jpeg': 0, 'queryset/testMaterial/indexgravel11.jpeg': 0, 'queryset/testMaterial/gravelTest111.jpeg': 0, 'queryset/testMaterial/indexgravel2.jpeg': 0}
[3, 8]
Displaying scores for queryset/testMaterial/imagesgravel7.jpeg ** 

trainset/mixture/mixture5.jpeg has score 1.696
trainset/sand/sand114.jpeg has score 1.709
trainset/sand/sand126.jpeg has score 1.749
trainset/sand/sand4.jpeg has score 1.781
trainset/mixture/mixture6.jpeg has score 1.905
trainset/mixture/mixture7.jpeg has score 1.961
trainset/sand/sand121.jpeg has score 2.046
trainset/mixture/mixture2.jpeg has score 2.121
trainset/sand/sand124.jpeg has score 2.126
trainset/mixture/mixture1.jpeg has score 2.19
trainset/sand/sand122.jpeg has score 2.241
trainset/mixture/mixture10.jpeg has score 2.364
trainset/sand/sand123.jpeg has score 2.522
trainset/bitumin/bitumin127.jpeg has score 2.539
trainset/gravel/gravel114.jpeg has score 2.539
trainset/sand/sand111.jpeg has score 2.75
trainset/sand/sand116.jpeg has score 2.772
trainset/bitumin/bitumin128.jpeg has score 2.826
trainset/bitumin/bitumin129.jpeg has score 2.944
trainset/sand/sand125.jpeg has score 2.955
trainset/bitumin/bitumin133.jpeg has score 2.958
trainset/bitumin/bitumin132.jpeg has score 2.958
trainset/mixture/mixture3.jpeg has score 2.966
trainset/bitumin/bitumin120.jpeg has score 2.992
trainset/bitumin/bitumin118.jpeg has score 3.015
trainset/sand/sand1.jpeg has score 3.033
trainset/mixture/mixture8.jpeg has score 3.035
trainset/sand/sand115.jpeg has score 3.038
trainset/mixture/mixture4.jpeg has score 3.141
trainset/bitumin/bitumin130.jpeg has score 3.149
trainset/bitumin/bitumin115.jpeg has score 3.158
trainset/bitumin/bitumin131.jpeg has score 3.249
trainset/sand/sand120.jpeg has score 3.279
trainset/sand/sand118.jpeg has score 3.304
trainset/bitumin/bitumin125.jpeg has score 3.331
trainset/mixture/mixture9.jpeg has score 3.414
trainset/sand/sand127.jpeg has score 3.418
trainset/bitumin/bitumin134.jpeg has score 3.505
trainset/bitumin/bitumin112.jpeg has score 3.537
trainset/bitumin/bitumin124.jpeg has score 3.542
trainset/bitumin/bitumin117.jpeg has score 3.561
trainset/bitumin/bitumin113.jpeg has score 3.597
trainset/bitumin/bitumin116.jpeg has score 3.607
trainset/bitumin/bitumin114.jpeg has score 3.64
trainset/gravel/gravel132.jpeg has score 3.678
trainset/sand/sand119.jpeg has score 3.698
trainset/bitumin/bitumin123.jpeg has score 3.799
trainset/gravel/gravel135.jpeg has score 3.836
trainset/bitumin/bitumin126.jpeg has score 3.842
trainset/sand/sand113.jpeg has score 3.876
trainset/gravel/gravel133.jpeg has score 3.988
trainset/gravel/gravel131.jpeg has score 3.988
trainset/bitumin/bitumin119.jpeg has score 3.999
trainset/bitumin/bitumin121.jpeg has score 4.093
trainset/gravel/gravel124.jpeg has score 4.129
trainset/sand/sand117.jpeg has score 4.158
trainset/bitumin/bitumin122.jpeg has score 4.229
trainset/sand/sand112.jpeg has score 4.251
trainset/bitumin/bitumin111.jpeg has score 4.258
trainset/gravel/gravel111.jpeg has score 4.634
trainset/gravel/gravel129.jpeg has score 4.652
trainset/gravel/gravel134.jpeg has score 4.929
trainset/gravel/gravel113.jpeg has score 5.115
trainset/gravel/gravel115.jpeg has score 5.534
trainset/gravel/gravel119.jpeg has score 5.606
trainset/gravel/gravel118.jpeg has score 5.919
trainset/gravel/gravel117.jpeg has score 6.071
trainset/gravel/gravel130.jpeg has score 6.1
